Country,Number of infections in 2023,Week number
Luxembourg,82,36
Luxembourg,88,37
Luxembourg,63,38
Luxembourg,93,39
Luxembourg,86,40
Luxembourg,98,41
Luxembourg,91,42
Luxembourg,82,43
Luxembourg,100,44
Netherlands,4035,1
Netherlands,3873,2
Netherlands,3680,3
Netherlands,3443,4
Netherlands,3623,5
Netherlands,3451,6
Netherlands,3549,7
Netherlands,3446,8
Netherlands,3509,9
Netherlands,3787,10
Netherlands,3675,11
Netherlands,3574,12
Netherlands,3381,13
Netherlands,3272,14
Netherlands,3065,15
Netherlands,3232,16
Netherlands,2904,17
Netherlands,3019,18
Netherlands,2999,19
Netherlands,2915,20
Netherlands,2973,21
Netherlands,2882,22
Netherlands,3089,23
Netherlands,3207,24
Netherlands,3021,25
Netherlands,2903,26
Netherlands,2782,27
Netherlands,2948,28
Netherlands,2777,29
Netherlands,2934,30
Netherlands,2782,31
Netherlands,2895,32
Netherlands,2920,33
Netherlands,2897,34
Netherlands,2856,35
Netherlands,2961,36
Netherlands,2914,37
Netherlands,2999,38
Netherlands,3079,39
Netherlands,3107,40
Netherlands,3090,41
Netherlands,3129,42
Netherlands,3407,43
Netherlands,3455,44
New Zealand,755,1
New Zealand,669,2
New Zealand,725,3
New Zealand,697,4
New Zealand,638,5
New Zealand,634,6
New Zealand,695,7
New Zealand,681,8
New Zealand,679,9
New Zealand,685,10
New Zealand,641,11
New Zealand,672,12
New Zealand,705,13
New Zealand,722,14
New Zealand,678,15
New Zealand,740,16
New Zealand,656,17
New Zealand,662,18
New Zealand,718,19
New Zealand,752,20
New Zealand,758,21
New Zealand,733,22
New Zealand,749,23
New Zealand,790,24
New Zealand,744,25
New Zealand,737,26
New Zealand,772,27
New Zealand,773,28
New Zealand,777,29
New Zealand,712,30
New Zealand,760,31
New Zealand,710,32
New Zealand,751,33
New Zealand,834,34
New Zealand,804,35
New Zealand,802,36
New Zealand,758,37
New Zealand,790,38
New Zealand,714,39
New Zealand,733,40
New Zealand,761,41
New Zealand,750,42
New Zealand,665,43
New Zealand,738,44
Norway,1104,1
Norway,1074,2
Norway,912,3
Norway,889,4
Norway,876,5
Norway,852,6
Norway,840,7
Norway,843,8
Norway,793,9
Norway,837,10
Norway,851,11
Norway,852,12
Norway,816,13
Norway,791,14
Norway,811,15
Norway,839,16
Norway,826,17
Norway,774,18
Norway,815,19
Norway,712,20
Norway,774,21
Norway,805,22
Norway,778,23
Norway,801,24
Norway,752,25
Norway,829,26
Norway,750,27
Norway,752,28
Norway,734,29
Norway,751,30
Norway,791,31
Norway,754,32
Norway,724,33
Norway,753,34
Norway,755,35
Norway,805,36
Norway,838,37
Norway,815,38
Norway,826,39
Norway,778,40
Norway,799,41
Norway,844,42
Norway,831,43
Norway,858,44
Poland,10391,1
Poland,9534,2
Poland,8616,3
Poland,8285,4
Poland,8254,5
Poland,8257,6
Poland,8105,7
Poland,8234,8
Poland,8266,9
Poland,8387,10
Poland,8338,11
Poland,8203,12
Poland,7959,13
Poland,7783,14
Poland,7692,15
Poland,7739,16
Poland,7616,17
Poland,7476,18
Poland,7365,19
Poland,7439,20
Poland,7480,21
Poland,7272,22
Poland,7566,23
Poland,7106,24
Poland,7449,25
Poland,6950,26
Poland,6816,27
Poland,7277,28
Poland,6813,29
Poland,7195,30
Poland,6911,31
Poland,6802,32
Poland,7771,33
Poland,7272,34
Poland,6683,35
Poland,7083,36
Poland,7067,37
Poland,7179,38
Poland,7180,39
Poland,7334,40
Poland,7707,41
Poland,7852,42
Poland,7937,43
Poland,7598,44
Portugal,2735,1
Portugal,2596,2
Portugal,2703,3
Portugal,2631,4
Portugal,2831,5
Portugal,2852,6
Portugal,2693,7
Portugal,2527,8
Portugal,2569,9
Portugal,2540,10
Portugal,2338,11
Portugal,2211,12
Portugal,2211,13
Portugal,2138,14
Portugal,2074,15
Portugal,2140,16
Portugal,2219,17
Portugal,2125,18
Portugal,1935,19
Portugal,2089,20
Portugal,2101,21
Portugal,2099,22
Portugal,2092,23
Portugal,2011,24
Portugal,2066,25
Portugal,2006,26
Portugal,1932,27
Portugal,1969,28
Portugal,1952,29
Portugal,1964,30
Portugal,2056,31
Portugal,2210,32
Portugal,2076,33
Portugal,2290,34
Portugal,2054,35
Portugal,2053,36
Portugal,2044,37
Portugal,2031,38
Portugal,2097,39
Portugal,2069,40
Portugal,2092,41
Portugal,2024,42
Portugal,2109,43
Portugal,2111,44
Slovak Republic,1273,1
Slovak Republic,1181,2
Slovak Republic,1152,3
Slovak Republic,1059,4
Slovak Republic,1077,5
Slovak Republic,1064,6
Slovak Republic,1034,7
Slovak Republic,1088,8
Slovak Republic,1104,9
Slovak Republic,1128,10
Slovak Republic,1137,11
Slovak Republic,1116,12
Slovak Republic,1062,13
Slovak Republic,974,14
Slovak Republic,1056,15
Slovak Republic,991,16
Slovak Republic,1008,17
Slovak Republic,937,18
Slovak Republic,930,19
Slovak Republic,869,20
Slovak Republic,1024,21
Slovak Republic,910,22
Slovak Republic,944,23
Slovak Republic,964,24
Slovak Republic,1015,25
Slovak Republic,940,26
Slovak Republic,954,27
Slovak Republic,995,28
Slovak Republic,948,29
Slovak Republic,919,30
Slovak Republic,920,31
Slovak Republic,867,32
Slovak Republic,989,33
Slovak Republic,1050,34
Slovak Republic,934,35
Slovak Republic,960,36
Slovak Republic,970,37
Slovak Republic,934,38
Slovak Republic,942,39
Slovak Republic,907,40
Slovak Republic,1007,41
Slovak Republic,1032,42
Slovak Republic,1015,43
Slovak Republic,..,44
Slovenia,538,1
Slovenia,504,2
Slovenia,524,3
Slovenia,420,4
Slovenia,471,5
Slovenia,417,6
Slovenia,467,7
Slovenia,457,8
Slovenia,426,9
Slovenia,408,10
Slovenia,404,11
Slovenia,443,12
Slovenia,386,13
Slovenia,390,14
Slovenia,374,15
Slovenia,407,16
Slovenia,381,17
Slovenia,394,18
